Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.5686,0.5858,0.5599,0.6029,0.5159,0.5012,0.4559,0.4375,0.4056
Random Forest,0.0466,1.0,0.9105,0.9265,0.9963,0.9975,0.9939,0.9890000000000001,0.9890000000000001
CART,0.0466,1.0,0.8677,0.8186,0.9963,0.9975,0.9939,0.9890000000000001,0.9890000000000001
C5.0,0.1225,0.9755,0.8811,0.8971,0.875,0.875,0.8873,0.8431,0.8603
C5.0-Boosting,0.3088,0.9988,0.9252,0.9265,0.9252,0.9265,0.9865,0.9632,0.9841
CTree,0.9926,0.9154,0.8297,0.8971,0.7917,0.7365,0.674,0.6642,0.5797
RPart,0.9951,0.9007,0.8579,0.8873,0.826,0.7708,0.7206,0.6801,0.6225
kNN,0.598,0.674,0.6237,0.6373,0.6225,0.5882,0.5564,0.5343,0.5
3NN+DTW,0.1103,0.8799,0.6629,0.6765,0.8529,0.8554,0.8284,0.8444,0.8309
LSTM,0.8039,0.3897,0.6678,0.3824,0.3922,0.6238,0.6483,0.5748,0.2157
C4.5,0.2157,0.9792,0.8859999999999999,0.8725,0.9032,0.8664,0.8640000000000001,0.8640000000000001,0.8505
