Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.9542,0.8229,0.775,0.8583,0.7396,0.6917,0.6729,0.5938,0.55
Random Forest,0.0,1.0,0.9396,0.95,1.0,1.0,1.0,1.0,1.0
CART,0.0,1.0,0.925,0.925,1.0,1.0,1.0,1.0,1.0
C5.0,0.2292,0.9854,0.9062,0.925,0.9062,0.8708,0.9083,0.8771,0.8458
C5.0-Boosting,0.3625,1.0,0.9521,0.9583,0.9396,0.925,0.9896,0.9938,0.9958
CTree,0.9792,0.9521,0.9021,0.8917,0.8479,0.7917,0.7146,0.6896,0.6542
RPart,0.9625,0.9604,0.9104,0.9167,0.8646,0.7938,0.7688,0.7,0.6708
kNN,0.8083,0.7938,0.7542,0.7833,0.7146,0.6729,0.6542,0.5938,0.5521
3NN+DTW,0.125,0.9125,0.6958,0.75,0.8938,0.8542,0.8708,0.8708,0.8542
LSTM,0.4458,0.9938,0.9188,0.975,0.6833,0.8438,0.5,0.6042,0.6917
C4.5,0.1458,0.9917,0.9083,0.925,0.9104,0.8979,0.9,0.8875,0.8792
