Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.0093,0.5981,0.5381,0.5926,0.5841,0.5981,0.6121,0.5841,0.5935
Random Forest,0.0841,1.0,0.8273,0.7778,0.9953,0.9907,0.9813,0.9766,0.9813
CART,0.0841,1.0,0.7152,0.7222,0.9953,0.9907,0.9813,0.9766,0.9813
C5.0,0.1121,0.9626,0.7849,0.7593,0.8037,0.8879,0.9112,0.8037,0.8738
C5.0-Boosting,0.2243,1.0,0.8271,0.7963,0.8037,0.8879,0.9439,0.8598,0.8738
CTree,0.0561,0.6822,0.6261,0.6667,0.6682,0.514,0.6449,0.514,0.6542
RPart,0.1589,0.8785,0.743,0.7593,0.8598,0.7944,0.8271,0.8178,0.8084
kNN,0.1495,0.6916,0.5091,0.6667,0.6449,0.6402,0.6215,0.6121,0.6215
3NN+DTW,0.0841,0.8411,0.6449,0.7407,0.7991,0.7897,0.7757,0.785,0.7804
LSTM,0.2617,0.6636,0.5561,0.6111,0.528,0.5374,0.7056,0.743,0.4907
C4.5,2.1121,0.9579,0.7709999999999999,0.7778,0.9533,0.9019,0.7944,0.7336,0.5093
