Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.975,0.7625,0.7062,0.775,0.675,0.625,0.6688,0.4625,0.5125
Random Forest,0.0,1.0,0.975,1.0,1.0,1.0,1.0,1.0,1.0
CART,0.0,1.0,0.9938,1.0,1.0,1.0,1.0,1.0,1.0
C5.0,0.4375,1.0,0.975,1.0,0.9312,0.85,0.8812,0.8562,0.8188
C5.0-Boosting,0.3125,1.0,0.975,1.0,0.9375,0.8688,0.9312,0.975,0.9625
CTree,1.0375,0.9875,0.9688,1.0,0.9,0.8375,0.8062,0.7188,0.7
RPart,0.875,1.0,0.9938,1.0,0.9062,0.85,0.8188,0.7625,0.7312
kNN,0.6,0.7688,0.7188,0.75,0.7188,0.6875,0.6812,0.6625,0.5812
3NN+DTW,0.075,0.8812,0.7312,0.825,0.8438,0.8312,0.825,0.7938,0.8438
LSTM,0.3125,0.5,0.7938,0.5,0.5688,0.275,0.425,0.3812,0.4375
C4.5,0.1375,1.0,0.975,1.0,0.9,0.8875,0.8375,0.8938,0.9312
