Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.5705,0.7621,0.7503,0.7725,0.6964,0.6674,0.6405,0.5823,0.5963
Random Forest,0.0,1.0,0.9699,0.97,1.0,1.0,1.0,1.0,1.0
CART,0.0022,1.0,0.9451,0.9528,1.0,0.9989,1.0,1.0,1.0
C5.0,0.9882,0.9925,0.9505,0.9571,0.8999,0.8525,0.8407,0.7783,0.69
C5.0-Boosting,1.2637,1.0,0.9752,0.9742,0.9634,0.8611,0.8493,0.7589,0.6986
CTree,1.0226,0.9612,0.9429,0.9227,0.8590000000000001,0.8149,0.7621,0.7191,0.6512
RPart,0.7147,0.9656,0.9354,0.927,0.8579,0.8332,0.7987,0.7535,0.7191
kNN,0.8202,0.9042,0.887,0.9013,0.8245,0.7643,0.7277,0.6814,0.6609
3NN+DTW,0.5727,0.9634,0.9117,0.9185,0.887,0.8536,0.8321,0.8105,0.7653
LSTM,1.2939,0.9268,0.9537,0.9485,0.8784,0.7492,0.7298,0.6233,0.6179
C4.5,1.0075,0.9925,0.9419,0.9528,0.9159999999999999,0.8708,0.8471,0.7869,0.7061
