Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.5495,0.5529999999999999,0.48200000000000004,0.565,0.4732,0.4245,0.384,0.3558,0.3703
Random Forest,0.0,1.0,0.8797,0.887,1.0,1.0,1.0,1.0,1.0
CART,0.048,1.0,0.8227,0.8220000000000001,0.9925,0.9875,0.9868,0.9875,0.9805
C5.0,0.821,0.9355,0.8307,0.843,0.8490000000000001,0.838,0.7718,0.7225,0.7015
C5.0-Boosting,1.1755,0.9968,0.8852,0.873,0.9135,0.9005,0.825,0.7608,0.6895
CTree,0.8405,0.8768,0.8242,0.828,0.787,0.754,0.6978,0.6592,0.6242
RPart,0.7915,0.8118,0.7832,0.784,0.7362,0.698,0.647,0.6048,0.585
kNN,0.3865,0.5579999999999999,0.4795,0.48,0.504,0.4895,0.475,0.4488,0.4278
3NN+DTW,0.0305,0.846,0.3828,0.38799999999999996,0.8385,0.8312,0.828,0.8285,0.8322
LSTM,0.69,0.8032,0.8163,0.7879999999999999,0.6822,0.7462,0.7025,0.6148,0.5755
C4.5,0.2135,0.9765,0.8298,0.85,0.9172,0.9272,0.8988,0.9065,0.8742
