Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.3194,0.6528,0.6452,0.75,0.6111,0.5694,0.5556,0.6042,0.5139
Random Forest,0.0278,1.0,0.9022,1.0,1.0,0.9931,0.9931,0.9931,0.9931
CART,0.0278,1.0,0.8333,0.9444,1.0,0.9931,0.9931,0.9931,0.9931
C5.0,0.2778,1.0,0.8264,0.9167,0.9653,0.9097,0.9375,0.9097,0.8958
C5.0-Boosting,0.0278,1.0,0.9165,0.9167,1.0,0.9931,0.9931,0.9931,0.9931
CTree,0.8333,0.8611,0.7579,0.8056,0.7361,0.6736,0.6528,0.6458,0.5417
RPart,0.3889,0.8681,0.7993,0.8333,0.8125,0.7639,0.7639,0.7639,0.7153
kNN,0.5,0.6667,0.6387,0.7778,0.6528,0.5833,0.6111,0.5833,0.5278
3NN+DTW,0.1111,0.8819,0.7224,0.8611,0.8333,0.8264,0.8472,0.7708,0.8333
LSTM,0.7917,0.5208,0.4574,0.5278,0.6042,0.5694,0.4375,0.5486,0.4167
C4.5,0.2083,0.9861,0.8123,0.9167,0.9444,0.9375,0.9306,0.9167,0.9028
