Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.4746,0.4816,0.4531,0.5134,0.4241,0.4059,0.3805,0.359,0.3289
Random Forest,0.0,1.0,0.7127,0.7344,1.0,1.0,1.0,1.0,1.0
CART,0.0547,0.9992,0.5982,0.6138,0.9908,0.9964,0.9966,0.9891,0.9807
C5.0,0.1787,0.9229,0.598,0.6127,0.8934,0.8735,0.8601,0.8579,0.8565
C5.0-Boosting,0.0067,1.0,0.6851,0.7065,0.998,0.9997,0.9992,0.9992,1.0
CTree,0.713,0.6714,0.584,0.6272,0.5977,0.5458,0.5112,0.4718,0.4564
RPart,0.5522,0.565,0.5491,0.5681,0.5092,0.474,0.4458,0.4302,0.3931
kNN,0.5444,0.529,0.4922,0.5424,0.4925,0.4562,0.4361,0.4101,0.3794
3NN+DTW,0.0346,0.8562,0.4738,0.5212,0.8523,0.8534,0.8532,0.8579,0.8587
LSTM,0.1089,0.514,0.4735,0.5112,0.3998,0.4216,0.4863,0.3442,0.4112
C4.5,0.129,0.9204,0.6044,0.6183,0.8819,0.878,0.8582,0.8498,0.8638
