Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.4925,0.5148,0.502,0.51,0.452,0.4436,0.4062,0.3973,0.35200000000000004
Random Forest,0.0,1.0,0.67,0.6920000000000001,1.0,1.0,1.0,1.0,1.0
CART,0.013999999999999999,1.0,0.5583,0.5893,0.9966,0.9997,0.9972,0.9989,0.9936
C5.0,0.1759,0.919,0.5698,0.5993,0.8816,0.8682,0.8629,0.8495,0.847
C5.0-Boosting,0.0045,0.9994,0.6669,0.6696,0.9989,0.9989,0.9997,0.9994,0.9997
CTree,0.7314,0.6365,0.5782,0.5893,0.5720000000000001,0.5491,0.4858,0.4631,0.4322
RPart,0.4316,0.5279,0.505,0.5056,0.4701,0.4604,0.4229,0.4009,0.392
kNN,0.3707,0.4947,0.4553,0.4967,0.4489,0.4283,0.4079,0.392,0.3744
3NN+DTW,0.0664,0.8540000000000001,0.4221,0.4431,0.8534,0.8546,0.8585,0.8621,0.8663
LSTM,0.608,0.6689,0.5547,0.6574,0.486,0.4539,0.4481,0.4006,0.3607
C4.5,0.1586,0.9182,0.5676,0.5938,0.88,0.8822,0.8640000000000001,0.8492,0.8568
