Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.4908,0.5095,0.4821,0.48100000000000004,0.4503,0.4327,0.4082,0.3894,0.3492
Random Forest,0.0,1.0,0.6923,0.6920000000000001,1.0,1.0,0.9997,1.0,1.0
CART,0.0916,0.9975,0.5821,0.6161,0.9899,0.9886,0.9835,0.9807,0.971
C5.0,0.1195,0.9118,0.6025,0.6328,0.8797,0.8638,0.8759999999999999,0.8699,0.8467
C5.0-Boosting,0.0089,0.9997,0.6798,0.6864,0.9983,0.9972,1.0,1.0,0.9992
CTree,0.7208,0.6636,0.605,0.6183,0.598,0.55,0.517,0.48100000000000004,0.4523
RPart,0.5053,0.562,0.5486,0.5547,0.5042,0.4911,0.4606,0.4137,0.4165
kNN,0.4802,0.5324,0.4986,0.4766,0.4832,0.4668,0.4433,0.4059,0.3936
3NN+DTW,0.0341,0.8459,0.4866,0.51,0.8420000000000001,0.8459,0.8437,0.8456,0.8506
LSTM,0.1513,0.5422,0.596,0.5179,0.4832,0.5315,0.4112,0.4347,0.4939
C4.5,0.0698,0.9188,0.5999,0.6194,0.8707,0.8621,0.8682,0.8557,0.8565
