Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.3177,0.3191,0.2964,0.2873,0.27899999999999997,0.2638,0.2472,0.23199999999999998,0.2155
Random Forest,0.0,1.0,0.5535,0.5635,1.0,1.0,1.0,1.0,1.0
CART,0.0442,1.0,0.4337,0.4144,1.0,1.0,0.9945,0.9779,1.0
C5.0,0.1657,0.8633,0.45299999999999996,0.4088,0.8204,0.8079999999999999,0.7776,0.7749,0.7956
C5.0-Boosting,0.0083,0.9986,0.5442,0.5579999999999999,0.9903,0.9945,0.9779,0.9876,0.9917
CTree,0.5829,0.4903,0.3798,0.4475,0.3978,0.3785,0.3398,0.3052,0.2887
RPart,0.5525,0.4779,0.3895,0.3757,0.4102,0.3854,0.3702,0.3163,0.3066
kNN,0.3646,0.4019,0.3564,0.3923,0.3508,0.3522,0.326,0.3135,0.27899999999999997
3NN+DTW,0.047,0.884,0.348,0.3481,0.8867,0.8923,0.8729,0.9019,0.8936
LSTM,0.5829,0.2182,0.2817,0.2099,0.3039,0.25,0.2362,0.2293,0.1685
C4.5,0.2238,0.8646,0.4406,0.4254,0.8273,0.7873,0.7873,0.7887,0.7707
