Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.0485,0.5825,0.5777,0.5769,0.5631,0.5728,0.5777,0.5874,0.568
Random Forest,0.0777,1.0,0.6695,0.7115,0.9757,0.966,0.9757,0.9563,0.9612
CART,0.0777,1.0,0.7081,0.6346,0.9757,0.966,0.9757,0.9563,0.9612
C5.0,0.534,0.9272,0.6164,0.5962,0.6553,0.5534,0.5437,0.5388,0.5291
C5.0-Boosting,0.534,0.9515,0.67,0.6731,0.6553,0.5534,0.5437,0.5388,0.5291
CTree,0.165,0.5777,0.5785,0.5769,0.5631,0.5534,0.5437,0.5388,0.5291
RPart,0.2621,0.8689,0.6504,0.5769,0.8301,0.8107,0.8398,0.7767,0.7816
kNN,0.2427,0.5922,0.5003,0.6154,0.5971,0.5777,0.6311,0.5728,0.6602
3NN+DTW,0.0388,0.7864,0.5588,0.5577,0.7767,0.767,0.7816,0.7282,0.7864
LSTM,0.0874,0.5922,0.5539999999999999,0.5385,0.5534,0.534,0.5437,0.6262,0.5291
C4.5,1.0291,0.9417,0.631,0.6154,0.9029,0.8786,0.5437,0.8204,0.6748
