Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.1742,0.6045,0.6015,0.6,0.5811,0.5667,0.5705,0.5545,0.5436
Random Forest,0.0,1.0,0.8167,0.8167,1.0,1.0,1.0,1.0,1.0
CART,0.1955,0.9996,0.7489,0.747,0.9928,0.9951,0.9955,0.9527,0.9652
C5.0,0.447,0.8568,0.7265,0.7485,0.6826,0.6818,0.6761,0.6553,0.5841
C5.0-Boosting,0.7333,0.9489,0.7564,0.7924,0.7432,0.7038,0.6735,0.6553,0.5841
CTree,0.5667,0.7515,0.6602,0.7136,0.6439,0.625,0.5811,0.6008,0.5144
RPart,0.547,0.7348,0.7148,0.7121,0.7053,0.675,0.6583,0.6023,0.6049
kNN,0.2545,0.6663,0.6458,0.6591,0.6398,0.6155,0.6121,0.6027,0.5826
3NN+DTW,0.2455,0.8705,0.7076,0.6970000000000001,0.8186,0.8170000000000001,0.7939,0.7898,0.7708
LSTM,0.2689,0.6769,0.6337,0.6727,0.6083,0.5288,0.5867,0.5822,0.5144
C4.5,0.7,0.8886,0.7352,0.7682,0.7667,0.7356,0.7125,0.6652,0.6269
