Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.1625,0.5688,0.4467,0.425,0.45,0.4312,0.4688,0.4,0.425
Random Forest,0.0,1.0,0.69,0.8,1.0,1.0,1.0,1.0,1.0
CART,0.0,1.0,0.585,0.8,1.0,1.0,1.0,1.0,1.0
C5.0,0.1375,0.9438,0.5,0.625,0.8875,0.8938,0.9,0.9125,0.8438
C5.0-Boosting,0.0,1.0,0.6562,0.8,1.0,1.0,1.0,1.0,1.0
CTree,0.7375,0.475,0.3312,0.525,0.4125,0.3812,0.3438,0.35,0.2438
RPart,0.625,0.7812,0.4875,0.7,0.7125,0.7312,0.7,0.6312,0.6062
kNN,0.1875,0.4,0.3688,0.4,0.3625,0.3688,0.325,0.3125,0.3438
3NN+DTW,0.1125,0.85,0.6688,0.55,0.8375,0.8125,0.8375,0.8438,0.7938
LSTM,0.5875,0.5562,0.5438,0.5,0.55,0.325,0.5312,0.4188,0.3562
C4.5,0.2125,0.9375,0.5125,0.675,0.9188,0.9125,0.9062,0.9062,0.8688
