Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.7976,0.8274,0.7921,0.6977,0.75,0.7202,0.7143,0.6548,0.5833
Random Forest,0.0238,1.0,0.8523,0.8140000000000001,1.0,0.9940000000000001,1.0,0.9940000000000001,0.9940000000000001
CART,0.0238,1.0,0.7994,0.8140000000000001,1.0,0.9940000000000001,1.0,0.9940000000000001,0.9940000000000001
C5.0,0.25,0.9881,0.7914,0.7907,0.9643,0.9643,0.9405,0.9345,0.9167
C5.0-Boosting,0.0238,1.0,0.8152,0.7442,1.0,0.9940000000000001,1.0,0.9940000000000001,0.9940000000000001
CTree,0.7738,0.8393,0.6246,0.6512,0.625,0.625,0.6488,0.5238,0.4821
RPart,0.2976,0.8512,0.738,0.6977,0.8274,0.7857,0.7798,0.7917,0.75
kNN,0.619,0.8929,0.8873,0.8372,0.7976,0.7738,0.7262,0.7143,0.6726
3NN+DTW,0.4643,0.9524,0.8275,0.8372,0.8869,0.8631,0.8393,0.8690000000000001,0.7679
LSTM,2.1071,0.8393,0.6178,0.6977,0.8214,0.625,0.5238,0.3571,0.4286
C4.5,0.0119,0.9821,0.7442,0.8140000000000001,0.9643,0.9643,0.9464,0.9702,0.9643
