Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.9859,1.0,0.9965,0.9965,0.9023,0.8486,0.8011,0.7535,0.7033
Random Forest,0.0246,1.0,0.9876,0.993,0.9868,0.9842,0.985,0.9842,0.993
CART,0.1092,1.0,0.948,0.9437,0.9894,0.9886,0.9727,0.9692,0.9718
C5.0,0.0493,0.9938,0.9674,0.9577,0.9384,0.9569,0.9366,0.9305,0.9393
C5.0-Boosting,0.0493,1.0,0.9877,0.9894,0.9877,1.0,1.0,1.0,1.0
CTree,2.3662,0.941,0.7359,0.8838,0.7394,0.618,0.7342,0.3891,0.2623
RPart,0.9155,0.9613,0.9102,0.9225,0.8644,0.8037,0.7729,0.7227,0.6761
kNN,0.9771,0.9859,0.9815,0.9894,0.8882,0.8363,0.7896,0.7403,0.6919
3NN+DTW,0.3504,0.9912,0.9701,0.9859,0.9014,0.8785,0.8468,0.8477,0.8292
LSTM,0.5898,0.9991,0.9956,0.9965,0.8864,0.8539,0.8433,0.7896,0.7711
C4.5,0.0546,0.9982,0.9542,0.9542,0.956,0.963,0.9542,0.9498,0.9489
