Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.21,0.875,0.5525,0.55,0.8825,0.8625,0.85,0.8475,0.8375
Random Forest,0.0,1.0,0.615,0.58,1.0,1.0,1.0,1.0,1.0
CART,0.0,1.0,0.6,0.58,1.0,1.0,1.0,1.0,1.0
C5.0,0.07,0.935,0.65,0.59,0.96,0.965,0.975,0.965,0.9775
C5.0-Boosting,0.01,1.0,0.5925,0.6,1.0,1.0,1.0,1.0,0.9975
CTree,0.225,0.6,0.565,0.6,0.5,0.6125,0.5,0.5,0.5
RPart,0.09,0.8725,0.62,0.54,0.8275,0.84,0.87,0.86,0.84
kNN,0.02,0.6325,0.59,0.6,0.6325,0.6175,0.635,0.5975,0.6375
3NN+DTW,0.375,0.905,0.735,0.7,0.8375,0.8175,0.8275,0.795,0.755
LSTM,0.43,0.9675,0.79,0.82,0.96,0.92,0.895,0.915,0.855
C4.5,0.88,0.915,0.5975,0.61,0.685,0.775,0.9225,0.625,0.98
