Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.7999,0.7719,0.7232,0.7323,0.6925,0.6561,0.6165,0.5765,0.5323
Random Forest,0.2668,0.9984,0.7692,0.7844,0.9648,0.9498,0.9344,0.9228,0.9117
CART,0.5248,0.9279999999999999,0.6628,0.6748,0.8985,0.8911,0.8607,0.8516,0.787
C5.0,0.5174,0.9229,0.6629999999999999,0.6735,0.8551,0.8238,0.7965,0.7719,0.7516
C5.0-Boosting,0.34600000000000003,0.9999,0.7495,0.7504,0.9661,0.9461,0.9275,0.9112,0.8971
CTree,0.7662,0.6951,0.6156,0.62,0.6138,0.5788,0.5342,0.5018,0.4607
RPart,0.4442,0.444,0.4373,0.4235,0.3854,0.379,0.3563,0.3331,0.2973
kNN,0.5592,0.5924,0.583,0.579,0.5343,0.507,0.4784,0.4522,0.4219
3NN+DTW,0.2232,0.8964,0.6951,0.7158,0.8582,0.843,0.8352,0.8231,0.8124
LSTM,0.7659999999999999,0.9654,0.7654,0.7669,0.8991,0.8534,0.8205,0.7765,0.746
C4.5,0.505,0.9391,0.6605,0.6733,0.8735,0.8433,0.8166,0.7902,0.7738
