Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.9183,0.9105,0.8989,0.9077,0.821,0.7743,0.7237,0.6887,0.6342
Random Forest,0.0,1.0,0.9921,0.9692,1.0,1.0,1.0,1.0,1.0
CART,0.0,1.0,0.9570000000000001,0.9692,1.0,1.0,1.0,1.0,1.0
C5.0,0.0311,0.9961,0.9883,0.9538,0.9533,0.9222,0.93,0.93,0.9416
C5.0-Boosting,0.0,1.0,0.9805,0.9846,1.0,1.0,1.0,1.0,1.0
CTree,0.9883,0.9883,0.9727,0.9846,0.8833,0.8249,0.7743,0.7276,0.6848
RPart,0.8716,0.9844,0.9494,0.9538,0.8949,0.856,0.8093,0.7704,0.7198
kNN,0.9728,0.9805,0.9805,0.9538,0.8833,0.8288,0.7938,0.7393,0.6848
3NN+DTW,0.7626,0.9961,0.9882,0.9846,0.93,0.8911,0.8638,0.7977,0.7859999999999999
LSTM,0.7549,0.6848,0.5531,0.6615,0.2062,0.3969,0.3541,0.32299999999999995,0.4319
C4.5,0.0389,0.9961,0.9806,0.9846,0.9339,0.9494,0.9572,0.9455,0.9455
