Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.6821,0.7773,0.7774,0.7685,0.7239,0.6659,0.6427,0.6265,0.5731
Random Forest,0.0,1.0,0.833,0.8333,1.0,1.0,1.0,1.0,1.0
CART,0.0,1.0,0.747,0.7407,1.0,1.0,1.0,1.0,1.0
C5.0,0.0186,0.9722,0.7819,0.787,0.9582,0.9327,0.8909999999999999,0.9606,0.9490000000000001
C5.0-Boosting,0.0,1.0,0.7957,0.8056,1.0,1.0,0.9977,1.0,1.0
CTree,0.8028,0.826,0.7911,0.7963,0.7587,0.6937,0.6636,0.6682,0.5708
RPart,0.4037,0.9002,0.7957,0.7778,0.8538,0.7773,0.7726,0.7378,0.7726
kNN,0.6589,0.8144,0.7981,0.7778,0.7494,0.703,0.6589,0.652,0.6102
3NN+DTW,0.3341,0.9049,0.8005,0.8241,0.8701,0.8376,0.8376,0.8144,0.7981
LSTM,0.3712,0.6032,0.3109,0.6019,0.3387,0.3039,0.5244,0.4942,0.3364
C4.5,0.1578,0.9722,0.7748,0.7963,0.9397,0.9002,0.9490000000000001,0.9374,0.9606
