Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.9359999999999999,0.9572,0.9505,0.9520000000000001,0.8618,0.8148,0.7659999999999999,0.7173,0.6765
Random Forest,0.0875,0.9965,0.9512,0.953,0.9355,0.902,0.8908,0.9118,0.9088
CART,0.069,0.9932,0.9173,0.92,0.9185,0.9028,0.9058,0.9328,0.8862
C5.0,0.3275,0.9735,0.9323,0.946,0.8925,0.8740000000000001,0.872,0.7668,0.8642
C5.0-Boosting,0.026000000000000002,0.997,0.9470000000000001,0.946,0.9012,0.9302,0.9895,0.7462,0.9998
CTree,0.9645,0.946,0.9323,0.935,0.8505,0.8029999999999999,0.7548,0.7058,0.6579999999999999
RPart,0.925,0.9352,0.9258,0.924,0.8392,0.7815,0.746,0.7,0.6488
kNN,0.9105,0.9352,0.9335,0.9420000000000001,0.8432,0.7988,0.7509999999999999,0.7065,0.6617
3NN+DTW,0.2955,0.97,0.9482,0.945,0.895,0.868,0.8512,0.8402,0.835
LSTM,0.754,0.9890000000000001,0.945,0.945,0.9062,0.7922,0.8115,0.7238,0.752
C4.5,0.071,0.9828,0.9309999999999999,0.934,0.9542,0.9455,0.9498,0.9435,0.9375
