Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.6218,0.7029,0.5729,0.6138,0.6373,0.6028,0.5579,0.5199,0.5233
Random Forest,0.0,1.0,0.6262,0.669,1.0,1.0,1.0,1.0,1.0
CART,0.0,1.0,0.4873,0.531,1.0,1.0,1.0,1.0,1.0
C5.0,0.1451,0.9413,0.5026,0.6138,0.8843,0.8756,0.8705,0.8446,0.8636
C5.0-Boosting,0.0035,1.0,0.5648,0.6621,1.0,0.9965,0.9965,0.9983,1.0
CTree,0.5665,0.46799999999999997,0.3833,0.4345,0.4197,0.4007,0.3333,0.3143,0.3212
RPart,0.6563,0.6788,0.513,0.5172,0.5959,0.5907,0.5181,0.5147,0.4698
kNN,0.4111,0.5509,0.4836,0.4828,0.5043,0.4853,0.4508,0.4421,0.4231
3NN+DTW,0.0622,0.9119,0.6425,0.731,0.8808,0.867,0.8532,0.8705,0.8636
LSTM,0.2729,0.2729,0.2539,0.2414,0.2573,0.2332,0.1779,0.1416,0.2349
C4.5,0.2798,0.9275,0.5009,0.5862,0.905,0.8722,0.8532,0.8566,0.8428
