Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.639,0.7254,0.573,0.6069,0.6563,0.6097,0.5855,0.5423,0.5302
Random Forest,0.0,1.0,0.6097,0.669,1.0,1.0,1.0,1.0,1.0
CART,0.0553,1.0,0.498,0.4414,1.0,1.0,0.9948,0.9896,0.9914
C5.0,0.2038,0.9223,0.5111,0.5793,0.8964,0.8756,0.8687,0.8601,0.8532
C5.0-Boosting,0.0069,1.0,0.5733,0.669,1.0,1.0,0.9983,1.0,0.9983
CTree,0.6218,0.5009,0.361,0.5034,0.4214,0.3972,0.3523,0.3385,0.2953
RPart,0.7634,0.6579999999999999,0.4662,0.4414,0.601,0.5492,0.4991,0.5095,0.4301
kNN,0.4629,0.5371,0.4352,0.4759,0.4801,0.4542,0.4508,0.4301,0.3765
3NN+DTW,0.0484,0.8774,0.6011,0.6828,0.8515,0.8618,0.848,0.8411,0.8739
LSTM,0.1762,0.1244,0.2022,0.0828,0.1019,0.2073,0.2487,0.209,0.1451
C4.5,0.1174,0.9257,0.4835,0.5241,0.8808,0.8636,0.8756,0.8601,0.8532
