Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.7024,0.8212,0.7277,0.7284,0.75,0.7116,0.6782,0.6404,0.61
Random Forest,0.0573,0.9655,0.7671,0.7632,0.9469,0.9362,0.9442,0.9359999999999999,0.9327
CART,0.2131,0.9204,0.6563,0.6758,0.8889,0.8859,0.8565,0.8688,0.8442
C5.0,0.4621,0.8636,0.7046,0.7109,0.8019,0.7611,0.7469,0.7242,0.7048
C5.0-Boosting,0.3064,0.9785,0.7826,0.7822,0.9227,0.887,0.8818,0.8734,0.8529
CTree,0.7747,0.7346,0.6627,0.6707,0.6459999999999999,0.6091,0.5762,0.5274,0.4932
RPart,0.5629,0.5402,0.5397,0.534,0.5015,0.46799999999999997,0.436,0.4031,0.3933
kNN,0.5891,0.6309,0.6191,0.6223,0.5809,0.5477,0.5203,0.4871,0.4639
3NN+DTW,0.2884,0.9258,0.8388,0.8441,0.8752,0.8484,0.8351,0.8206,0.8170000000000001
LSTM,0.2794,0.9714,0.8741,0.8777,0.946,0.94,0.9161,0.9111,0.8906
C4.5,0.1264,0.9306,0.7057,0.7254,0.8918,0.8874,0.8752,0.8708,0.8685
