Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.1469,0.2665,0.2453,0.2587,0.3138,0.2802,0.27399999999999997,0.2839,0.2752
Random Forest,0.0,1.0,0.5742,0.6119,1.0,1.0,1.0,1.0,1.0
CART,0.0,1.0,0.4933,0.5522,1.0,1.0,1.0,1.0,1.0
C5.0,0.0996,0.9626,0.5305,0.6219,0.9564,0.9465,0.9402,0.9365,0.9365
C5.0-Boosting,0.0,1.0,0.6102,0.6766,1.0,1.0,1.0,1.0,1.0
CTree,0.5006,0.6139,0.5031,0.4876,0.5268,0.5131,0.5181,0.4446,0.4359
RPart,0.5006,0.7086,0.5329999999999999,0.5622,0.6675,0.6575,0.6314,0.5716,0.5853
kNN,0.0548,0.3873,0.26899999999999996,0.3831,0.3748,0.3611,0.3574,0.3587,0.3898
3NN+DTW,0.0648,0.8306,0.2939,0.3483,0.8257,0.8232,0.8045,0.8107,0.8157
LSTM,0.0672,0.2491,0.3226,0.2488,0.2416,0.2466,0.259,0.2503,0.2565
C4.5,0.0722,0.9689,0.5405,0.5920000000000001,0.9514,0.9477,0.9402,0.9440000000000001,0.9352
