Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.9378,0.9928,0.9502,0.9644,0.8928,0.8494,0.8028,0.7539,0.7061
Random Forest,0.0056,1.0,0.9463,0.9489,1.0,1.0,0.9989,0.9994,0.9989
CART,0.0822,0.9994,0.716,0.7556,0.995,0.9933,0.9906,0.9833,0.9794
C5.0,0.2256,0.9683,0.75,0.7556,0.9011,0.8833,0.8806,0.8628,0.855
C5.0-Boosting,0.0033,1.0,0.8889,0.9111,0.9994,0.9989,0.9967,0.9983,0.9989
CTree,0.9189,0.795,0.6717,0.7,0.71,0.6544,0.6189,0.5817,0.5167
RPart,0.5767,0.6556,0.5739,0.5956,0.5639,0.5322,0.5244,0.4506,0.4606
kNN,0.7622,0.7756,0.7317,0.7556,0.6994,0.6628,0.6117,0.5861,0.5472
3NN+DTW,0.3667,0.9922,0.9772,0.9778,0.9128,0.89,0.8644,0.85,0.8411
LSTM,0.3244,0.9989,0.9739,0.9889,0.96,0.9728,0.9428,0.8783,0.9261
C4.5,0.1789,0.9667,0.7239,0.7778,0.9017,0.8867,0.8756,0.8628,0.8689
