Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.6492,0.8066,0.6139,0.6409,0.7099,0.6644,0.6326,0.6215,0.5691
Random Forest,0.0,1.0,0.6639,0.6906,1.0,1.0,1.0,1.0,1.0
CART,0.337,0.9503,0.4494,0.5083,0.9075,0.8854,0.8619,0.9075,0.8122
C5.0,0.3149,0.8964,0.4655,0.4696,0.8398,0.8370000000000001,0.8011,0.7901,0.7845
C5.0-Boosting,0.0442,1.0,0.6174,0.6519,0.9959,0.9917,0.9903,0.9917,0.9848
CTree,0.5691,0.5152,0.3356,0.3923,0.4296,0.384,0.3646,0.3536,0.3025
RPart,0.395,0.4876,0.3716,0.3536,0.4116,0.3729,0.297,0.3467,0.326
kNN,0.489,0.5401,0.4931,0.4807,0.4834,0.45299999999999996,0.4351,0.3936,0.3909
3NN+DTW,0.1022,0.9323,0.7501,0.8011,0.8909,0.8688,0.8826,0.8729,0.8633
LSTM,0.1796,0.9655,0.7127,0.779,0.9392,0.9392,0.9185,0.9075,0.9102
C4.5,0.4171,0.8936,0.4226,0.4309,0.8619,0.8301,0.8287,0.7928,0.7762
