Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.2038,0.9324,0.8148,0.8396,0.8847,0.8768,0.8608,0.8506,0.8468
Random Forest,0.0,1.0,0.7581,0.7736,1.0,1.0,1.0,1.0,1.0
CART,0.1372,0.9822,0.5765,0.5868,0.951,0.9995,0.9919,0.9975,0.9863
C5.0,0.0274,0.5244,0.5132,0.5178,0.5109,0.5094,0.5142,0.5069,0.5053
C5.0-Boosting,0.0274,0.5244,0.5132,0.5178,0.5109,0.5094,0.5142,0.5069,0.5053
CTree,0.0274,0.5135,0.5135,0.5137,0.5109,0.5094,0.5081,0.5069,0.5053
RPart,0.3471,0.6559999999999999,0.5488,0.5574,0.5109,0.6339,0.6095,0.6108,0.6092
kNN,0.4111,0.733,0.7152,0.733,0.6819,0.67,0.6443,0.6214,0.6034
3NN+DTW,0.2409,0.8511,0.706,0.7391,0.815,0.8016,0.7815,0.7772,0.767
LSTM,0.1611,0.9881,0.909,0.9137,0.9695,0.9738,0.9632,0.9319,0.9502
C4.5,0.7856,0.5208,0.5114,0.5137,0.5109,0.5168,0.5953,0.909,0.5112
