Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.1592,0.9418,0.7756,0.7989,0.9072,0.9092,0.8895,0.8791,0.8825
Random Forest,0.0,1.0,0.7317,0.7315,1.0,1.0,1.0,1.0,1.0
CART,0.0287,0.9986,0.5554,0.5551,0.9983,0.9885,0.9792,1.0,0.9854
C5.0,0.252,0.644,0.5287,0.5416,0.5936,0.5247,0.527,0.5433,0.5214
C5.0-Boosting,0.252,0.644,0.5444,0.5416,0.5936,0.5247,0.527,0.5433,0.5214
CTree,0.0169,0.5084,0.5084,0.509,0.5067,0.5059,0.5051,0.5042,0.5034
RPart,0.1423,0.6206,0.5579,0.5292,0.6445,0.6046,0.5779,0.6246,0.599
kNN,0.5354,0.7269,0.6943,0.7045,0.6738,0.6654,0.6243,0.6097,0.5678
3NN+DTW,0.2396,0.8459,0.6755,0.7056,0.8192,0.8015,0.7885,0.7728,0.7736
LSTM,0.1102,0.9873,0.8333,0.9056,0.9769,0.9654,0.946,0.9615,0.9513
C4.5,0.6496,0.9851,0.5588,0.5854,0.9477,0.5928,0.6038,0.9513,0.9308
