Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,1.0783,0.9692,0.9175,0.9683,0.8338,0.7675,0.6946,0.6592,0.6183
Random Forest,0.1017,1.0,0.9988,1.0,0.9842,0.9771,0.9954,0.9979,0.9992
CART,0.2558,1.0,0.9821,0.98,0.945,0.9317,0.9579,0.9321,0.8808
C5.0,1.0533,0.9979,0.985,0.9933,0.9004,0.8379,0.8004,0.7404,0.6858
C5.0-Boosting,1.165,0.9996,0.9958,0.9967,0.9271,0.8525,0.8033,0.7533,0.6854
CTree,1.045,0.99,0.9821,0.9683,0.8796,0.8283,0.785,0.7217,0.6717
RPart,0.95,0.9733,0.9571,0.9667,0.8796,0.8308,0.7758,0.7325,0.6912
kNN,0.6392,0.8367,0.8108,0.8233,0.7612,0.7242,0.7033,0.6721,0.6275
3NN+DTW,0.6242,0.9958,0.9921,0.995,0.9088,0.8688,0.8408,0.7992,0.7875
LSTM,0.925,0.9979,0.9962,1.0,0.8946,0.8538,0.8054,0.7446,0.7179
C4.5,1.0367,0.9988,0.9833,0.99,0.9217,0.8908,0.8538,0.7767,0.7196
