Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,1.0773,0.9618,0.9114,0.9705,0.8328,0.7702,0.7072,0.6512,0.6229
Random Forest,0.0669,1.0,0.9974,1.0,0.9831,0.9891,0.9791,0.9957,0.9965
CART,0.252,1.0,0.9748,0.9809,0.9631,0.9244,0.904,0.9201,0.9023
C5.0,0.98,0.9974,0.9896,0.9844,0.8931,0.8397,0.7871,0.7302,0.7029
C5.0-Boosting,1.1347,0.9996,0.9909,0.9965,0.9166,0.8527,0.7876,0.7294,0.6946
CTree,1.0009,0.9883,0.9752,0.9861,0.8827,0.8262,0.7824,0.7394,0.6759
RPart,0.9453,0.9722,0.9605,0.9688,0.8797,0.8341,0.7767,0.7315,0.6946
kNN,0.596,0.8288,0.8109999999999999,0.8125,0.7598,0.7368,0.6990000000000001,0.6759,0.6412
3NN+DTW,0.6116,0.9974,0.9917,0.9913,0.9005,0.8675,0.851,0.7997,0.7815
LSTM,1.1729,0.9996,0.9354,0.9983,0.8997,0.7185,0.8058,0.5517,0.6898
C4.5,0.9948,0.9978,0.9791,0.9844,0.9366,0.8662,0.831,0.7719,0.735
