Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.5625,0.8562,0.7875,0.775,0.7688,0.725,0.6688,0.6812,0.65
Random Forest,0.0,1.0,0.9875,0.925,1.0,1.0,1.0,1.0,1.0
CART,0.0,1.0,0.9,0.875,1.0,1.0,1.0,1.0,1.0
C5.0,0.05,0.9875,0.925,0.9,0.9312,0.9438,0.8625,0.9312,0.925
C5.0-Boosting,0.05,1.0,0.9312,0.925,1.0,1.0,0.9938,1.0,0.9875
CTree,0.825,0.95,0.8375,0.8,0.7062,0.775,0.5,0.775,0.5
RPart,0.2375,0.9688,0.8812,0.925,0.8938,0.85,0.8375,0.8562,0.8312
kNN,0.55,0.8938,0.8812,0.875,0.825,0.775,0.7625,0.7625,0.6938
3NN+DTW,0.5625,0.9938,0.9938,0.925,0.9,0.8625,0.8375,0.8312,0.775
LSTM,1.4,0.9688,0.9875,0.925,0.875,0.55,0.5312,0.5,0.55
C4.5,1.1125,0.9938,0.9,0.95,0.975,0.9312,0.9875,0.9,0.7125
