Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.75,0.8944,0.8837,0.9231,0.8056,0.7861,0.75,0.7056,0.6583
Random Forest,0.0,1.0,0.9473,0.9341,1.0,1.0,1.0,1.0,1.0
CART,0.0,1.0,0.8834,0.8901,1.0,1.0,1.0,1.0,1.0
C5.0,0.4056,0.9944,0.925,0.9121,0.9222,0.8417,0.825,0.7444,0.8694
C5.0-Boosting,0.7611,1.0,0.9389,0.9670000000000001,1.0,0.8861,0.8889,0.7444,0.8806
CTree,0.85,0.9222,0.875,0.8901,0.8278,0.7528,0.7417,0.6833,0.65
RPart,0.2944,0.9556,0.8944,0.8681,0.8667,0.8611,0.8222,0.8028,0.8222
kNN,0.8833,0.8972,0.8806,0.8571,0.8139,0.7972,0.7694,0.7222,0.6306
3NN+DTW,0.5,0.9944,0.9639,0.956,0.9028,0.8444,0.8528,0.7944,0.8028
LSTM,1.6222,0.9861,0.7361,0.9670000000000001,0.8722,0.5722,0.65,0.5,0.5028
C4.5,0.7056,0.9917,0.9167,0.9121,0.9,0.8556,0.8111,0.7528,0.775
