Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.9333,0.9833,0.975,0.9670000000000001,0.8806,0.8333,0.7889,0.7389,0.6944
Random Forest,0.0,1.0,0.9888,0.9890000000000001,1.0,1.0,1.0,1.0,1.0
CART,0.0,1.0,0.9695,0.978,1.0,1.0,1.0,1.0,1.0
C5.0,1.1778,1.0,0.9778,0.978,0.9389,0.8417,0.95,0.7417,0.6944
C5.0-Boosting,1.4556,1.0,0.9833,0.978,1.0,0.8833,1.0,0.7444,0.7056
CTree,0.8833,0.9944,0.9611,0.9890000000000001,0.8667,0.825,0.7889,0.7333,0.6917
RPart,0.5,0.9833,0.95,0.978,0.8889,0.8667,0.8194,0.8167,0.7889
kNN,0.9333,0.975,0.9722,0.978,0.875,0.8333,0.7889,0.7444,0.6861
3NN+DTW,0.6556,0.9972,0.9972,0.9890000000000001,0.9111,0.8667,0.8361,0.7778,0.7917
LSTM,0.3722,1.0,0.7611,0.9670000000000001,0.4861,0.4833,0.6972,0.4861,0.5778
C4.5,0.85,1.0,0.975,0.978,0.9556,0.8556,0.8083,0.825,0.7583
