Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.8444,0.9194,0.8944,0.8462,0.8139,0.7889,0.7111,0.7111,0.6417
Random Forest,0.0,1.0,0.9416,0.9231,1.0,1.0,1.0,1.0,1.0
CART,0.0,1.0,0.9055,0.8791,1.0,1.0,1.0,1.0,1.0
C5.0,0.3667,0.9889,0.9139,0.9231,0.9056,0.9167,0.8028,0.9056,0.8194
C5.0-Boosting,0.8444,1.0,0.9306,0.9231,0.9944,1.0,0.8472,0.9056,0.8306
CTree,0.6667,0.8722,0.8389,0.7582,0.7694,0.7667,0.725,0.6556,0.6583
RPart,0.1722,0.9472,0.8806,0.8791,0.8639,0.8611,0.8333,0.825,0.8389
kNN,0.7056,0.9167,0.8861,0.9121,0.8111,0.7944,0.75,0.7139,0.675
3NN+DTW,0.6722,0.9833,0.9722,0.956,0.9111,0.8667,0.825,0.8194,0.7667
LSTM,0.1167,0.9944,0.7861,0.8901,0.5167,0.5333,0.5111,0.5083,0.5
C4.5,0.7222,0.9917,0.9167,0.9231,0.9028,0.875,0.8417,0.7472,0.7861
