Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.5497,0.8655,0.8009,0.8605,0.8129,0.7895,0.7778,0.7251,0.7076
Random Forest,0.0,1.0,0.8364,0.907,1.0,1.0,1.0,1.0,1.0
CART,0.0,1.0,0.7369,0.7674,1.0,1.0,1.0,1.0,1.0
C5.0,0.0351,0.9883,0.7662,0.7674,0.9766,0.9708,1.0,0.9766,0.9825
C5.0-Boosting,0.0,1.0,0.7839,0.8140000000000001,1.0,1.0,1.0,1.0,1.0
CTree,1.0994,0.8012,0.6782,0.7907,0.7544,0.731,0.7368,0.6725,0.5088
RPart,0.0117,0.9123,0.8071,0.7907,0.9006,0.883,0.8538,0.8889,0.9006
kNN,0.4795,0.7719,0.7311,0.8372,0.7135,0.7427,0.6842,0.6784,0.6257
3NN+DTW,0.3977,0.9123,0.7602,0.7674,0.8596,0.8246,0.8363,0.7895,0.7778
LSTM,0.5965,0.7076,0.7368,0.7209,0.9357,0.731,0.5088,0.5965,0.8538
C4.5,0.0468,0.9883,0.7775,0.7674,0.9766,0.9883,0.9825,1.0,0.9825
