Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.7245,0.8714,0.8668,0.8905,0.7883,0.7464,0.7062,0.698,0.6314
Random Forest,0.0182,1.0,0.8969,0.8942,0.9982,0.9945,1.0,1.0,1.0
CART,0.073,0.9964,0.8458,0.8504,0.9690000000000001,0.9526,0.9991,1.0,0.9635
C5.0,0.3504,0.9781,0.8504,0.8175,0.8869,0.885,0.8668,0.8777,0.9781
C5.0-Boosting,0.0036,1.0,0.8887,0.8796,0.9964,0.9991,1.0,0.9918,0.9991
CTree,0.677,0.8641,0.8632,0.8540000000000001,0.7984,0.7372,0.7190000000000001,0.7181,0.6387
RPart,0.5292,0.9197,0.8613,0.865,0.8485,0.8239,0.7573,0.7381,0.7591
kNN,0.6077,0.8568,0.8531,0.8759,0.7892,0.7464,0.7053,0.6998,0.6606
3NN+DTW,0.3923,0.9188,0.8695,0.8796,0.8631,0.8221,0.8038,0.7865,0.7828
LSTM,0.2774,0.6469,0.3613,0.6387,0.3887,0.4033,0.4179,0.4307,0.4443
C4.5,0.562,0.9891,0.8495,0.8029,0.9781,0.8969,0.9033,0.9535,0.8093
