Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.4973,0.5351,0.4733,0.5161,0.5189,0.4676,0.4595,0.4351,0.4108
Random Forest,0.0,1.0,0.467,0.5484,1.0,1.0,1.0,1.0,1.0
CART,0.0,1.0,0.4005,0.4516,1.0,1.0,1.0,1.0,1.0
C5.0,0.027000000000000003,0.9405,0.3378,0.3871,0.9216,0.9378,0.9162,0.9405,0.927
C5.0-Boosting,0.0,1.0,0.4649,0.4516,1.0,1.0,1.0,1.0,1.0
CTree,0.8865,0.4946,0.3892,0.4194,0.4081,0.3622,0.3784,0.2162,0.2595
RPart,0.0108,0.6486,0.3811,0.4194,0.6676,0.6297,0.6243,0.6459,0.6622
kNN,0.3189,0.5135,0.4135,0.4839,0.4703,0.4351,0.4432,0.4,0.4081
3NN+DTW,0.0216,0.8162,0.4703,0.4409,0.8135,0.8270000000000001,0.8378,0.8270000000000001,0.8189
LSTM,0.0865,0.9297,0.4081,0.5054,0.9054,0.8973,0.8838,0.9081,0.8784
C4.5,0.0703,0.9486,0.3405,0.3656,0.9189,0.9243,0.9351,0.9324,0.9324
