Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.1961,0.598,0.5982,0.6154,0.5784,0.5686,0.5588,0.5489999999999999,0.5392
Random Forest,0.0,1.0,0.55,0.6923,1.0,1.0,1.0,1.0,1.0
CART,0.0,1.0,0.5682,0.6923,1.0,1.0,1.0,1.0,1.0
C5.0,0.0392,0.9804,0.5181,0.5,0.9804,0.9902,0.9902,0.951,0.9902
C5.0-Boosting,0.0,1.0,0.5286,0.6538,1.0,1.0,0.9902,1.0,1.0
CTree,0.1961,0.598,0.5971,0.6154,0.5784,0.5686,0.5588,0.5489999999999999,0.5392
RPart,0.0,0.8529,0.5081,0.6923,0.7745,0.8235,0.8824,0.8235,0.7745
kNN,0.1961,0.5784,0.5386,0.6538,0.6471,0.6863,0.5098,0.5489999999999999,0.6667
3NN+DTW,0.4314,0.8039,0.5395,0.6154,0.7745,0.8137,0.6961,0.7745,0.6863
LSTM,0.4118,0.7647,0.5095,0.6154,0.6471,0.4608,0.4412,0.5686,0.4902
C4.5,0.1176,0.9804,0.5771,0.5385,0.9706,0.9804,0.9902,1.0,0.9902
