Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.4274,0.8185,0.7425,0.7143,0.754,0.7016,0.7218,0.6895,0.6532
Random Forest,0.0,1.0,0.7752,0.7937,1.0,1.0,1.0,1.0,1.0
CART,0.0,1.0,0.7303,0.6032,1.0,1.0,1.0,1.0,1.0
C5.0,0.1855,0.9839,0.7097,0.7143,0.9718,0.9597,0.9355,0.9476,0.9315
C5.0-Boosting,0.0,1.0,0.7381,0.7778,1.0,1.0,1.0,1.0,1.0
CTree,0.4597,0.7581,0.6934,0.7302,0.6492,0.6452,0.5766,0.5685,0.5726
RPart,0.5242,0.879,0.6692,0.6984,0.8589,0.8145,0.8185,0.7298,0.7702
kNN,0.4032,0.7581,0.7056,0.7619,0.6815,0.6452,0.6331,0.621,0.5927
3NN+DTW,0.0,0.9032,0.8308,0.9048,0.8306,0.8105,0.8145,0.8105,0.8306
LSTM,0.9032,1.0,0.8597,1.0,0.9194,0.9194,0.8508,0.7823,0.7621
C4.5,0.1371,0.9839,0.7136,0.7143,0.9718,0.9476,0.9516,0.9597,0.9315
