Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.6898,0.7415,0.6761,0.6545,0.6733,0.6352,0.6074,0.5688,0.5341
Random Forest,0.0,1.0,0.7097,0.6773,1.0,1.0,1.0,1.0,1.0
CART,0.0011,1.0,0.5670000000000001,0.5523,1.0,0.9989,0.9983,0.9994,0.9994
C5.0,0.2364,0.95,0.5938,0.5659,0.9051,0.8881,0.8824,0.8608,0.8597
C5.0-Boosting,0.0011,0.9994,0.6665,0.6682,0.9994,0.9994,1.0,0.9989,1.0
CTree,0.6648,0.6659,0.5818,0.5659,0.6006,0.5795,0.5295,0.5062,0.47100000000000003
RPart,0.6295,0.6364,0.5636,0.5523,0.5682,0.5239,0.504,0.4568,0.4443
kNN,0.642,0.6614,0.6438,0.6205,0.5989,0.5722,0.5477,0.5057,0.4716
3NN+DTW,0.025,0.858,0.6597,0.6432,0.8472,0.8415,0.8506,0.8517,0.8483
LSTM,0.2534,0.8926,0.6455,0.6477,0.8665,0.8557,0.833,0.8597,0.8011
C4.5,0.1864,0.9540000000000001,0.5812,0.575,0.9079999999999999,0.8943,0.8801,0.8818,0.8676
