Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.9475,0.9715,0.9669,0.9864,0.8744,0.8231,0.7854,0.7306,0.6838
Random Forest,0.0,1.0,0.9669,0.9773,1.0,1.0,1.0,1.0,1.0
CART,0.0091,1.0,0.9372,0.95,1.0,0.9977,0.9989,1.0,0.9966
C5.0,0.968,0.9943,0.9646,0.9545,0.8824,0.8253,0.7842,0.7295,0.6884
C5.0-Boosting,1.0068,1.0,0.9589,0.9773,0.8927,0.8288,0.7842,0.7363,0.6872
CTree,0.9338,0.968,0.9635,0.9636,0.8721,0.8253,0.7831,0.7283,0.6872
RPart,0.9269,0.968,0.9646,0.9773,0.8721,0.8253,0.7842,0.7295,0.6884
kNN,0.9612,0.9658,0.9669,0.9727,0.8744,0.8253,0.7797,0.726,0.6838
3NN+DTW,0.5137,0.9715,0.9475,0.9682,0.895,0.8676,0.8390000000000001,0.8094,0.7957
LSTM,1.137,0.9795,0.9406,0.9636,0.8995,0.6998,0.7477,0.8208,0.5548
C4.5,0.9566,0.9943,0.96,0.9545,0.9018,0.8402,0.7888,0.7705,0.6975
