Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.18,0.865,0.4917,0.56,0.8617,0.8567,0.8233,0.8333,0.8283
Random Forest,0.0,1.0,0.615,0.6133,1.0,1.0,1.0,1.0,1.0
CART,0.0133,0.995,0.5183,0.5267,0.9933,0.9917,0.985,0.985,1.0
C5.0,0.13,0.92,0.5967,0.5867,0.9267,0.9133,0.9183,0.8983,0.9017
C5.0-Boosting,0.0,1.0,0.6283,0.6667,1.0,1.0,1.0,1.0,1.0
CTree,0.3633,0.5933,0.5467,0.58,0.44,0.3433,0.41,0.3517,0.345
RPart,0.25,0.68,0.5383,0.54,0.6717,0.6933,0.635,0.605,0.6533
kNN,0.15,0.515,0.4617,0.46,0.505,0.4667,0.4883,0.4683,0.4667
3NN+DTW,0.17,0.8833,0.63,0.6333,0.835,0.8217,0.8483,0.8,0.8033
LSTM,2.54,0.9833,0.865,0.9133,0.945,0.8617,0.7233,0.4617,0.51
C4.5,0.1333,0.8867,0.5517,0.56,0.9183,0.89,0.82,0.9333,0.93
