Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.2632,0.8684,0.5874,0.6207,0.7895,0.7105,0.7719,0.7018,0.7281
Random Forest,0.0,1.0,0.7878,0.7241,1.0,1.0,1.0,1.0,1.0
CART,0.0,1.0,0.5571,0.6897,1.0,1.0,1.0,1.0,1.0
C5.0,0.1404,0.9649,0.5711,0.5517,0.9211,0.8859999999999999,0.9211,0.8859999999999999,0.8859999999999999
C5.0-Boosting,0.0,1.0,0.6233,0.6897,1.0,1.0,1.0,1.0,1.0
CTree,0.9298,0.7193,0.5964,0.7241,0.5439,0.5526,0.5877,0.3158,0.4298
RPart,0.4035,0.8158,0.5103,0.6897,0.7456,0.7544,0.7456,0.6579,0.693
kNN,0.2456,0.6053,0.5087,0.4828,0.5614,0.5088,0.5351,0.4912,0.5088
3NN+DTW,0.1579,0.8421,0.6672,0.6897,0.7807,0.8421,0.807,0.8509,0.8158
LSTM,0.2281,0.9649,0.7111,0.7241,0.9649,0.9561,0.8421,0.9123,0.9298
C4.5,0.0,0.9561,0.5711,0.6897,0.9035,0.9211,0.9474,0.9035,0.9123
