Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.9667,0.9797,0.9802,0.9854,0.8839,0.8344,0.7865,0.7344,0.6922
Random Forest,0.0167,1.0,0.9948,1.0,1.0,1.0,0.9974,0.9969,0.9974
CART,0.0062,1.0,0.9839,1.0,0.9943,0.987,0.9698,0.9849,0.9969
C5.0,0.1125,0.9974,0.9844,0.9854,0.9172,0.9094,0.8833,0.8958,0.8958
C5.0-Boosting,0.1687,1.0,0.9943,0.9958,0.9646,0.9828,0.988,0.9964,1.0
CTree,0.9802,0.9849,0.9672,0.9792,0.8833,0.8344,0.7802,0.7318,0.6896
RPart,0.9427,0.9844,0.9656,0.9854,0.8771,0.8302,0.7849,0.738,0.6875
kNN,0.9344,0.9677,0.9656,0.975,0.8708,0.8219,0.7759999999999999,0.7307,0.6828
3NN+DTW,0.4104,0.9948,0.9797,0.9875,0.9125,0.8865,0.8651,0.8479,0.8292
LSTM,1.4208,0.9224,0.6724,0.9208,0.8604,0.8,0.7401,0.5604,0.625
C4.5,0.1656,0.9984,0.9823,0.9917,0.9406,0.9286,0.9115,0.9177,0.9047
