Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.6952,0.7182,0.6797,0.7074,0.6436,0.6075,0.5581,0.5428,0.5022
Random Forest,0.0,1.0,0.7793,0.8035,1.0,1.0,1.0,1.0,1.0
CART,0.0263,1.0,0.6414,0.6769,1.0,0.9868,0.9978,1.0,1.0
C5.0,0.2127,0.9594,0.6908,0.7118,0.9002,0.8893,0.8827,0.8640000000000001,0.8596
C5.0-Boosting,0.0044,1.0,0.7522,0.8253,0.9989,1.0,1.0,0.9978,0.9989
CTree,0.8618,0.7182,0.625,0.6638,0.6151,0.5866,0.557,0.5132,0.4364
RPart,0.7566,0.7785,0.6589,0.6987,0.7193,0.6765,0.6129,0.5921,0.5724
kNN,0.6667,0.6623,0.6162,0.6463,0.5987,0.5779,0.5428,0.5121,0.4649
3NN+DTW,0.2303,0.9298,0.795,0.8821,0.8849,0.8640000000000001,0.8794,0.852,0.8333
LSTM,0.5592,0.8607,0.7632,0.7948,0.8618,0.7675,0.7522,0.7621,0.7248
C4.5,0.2675,0.9529,0.682,0.7162,0.9046,0.8849,0.8816,0.8586,0.8509
