Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.9014,0.8866,0.8613,0.8671,0.8,0.7486,0.7034,0.6629999999999999,0.6175
Random Forest,0.0199,0.9997,0.8945,0.9027,0.9983,0.9973,0.9955,0.9949,0.9945
CART,0.1685,0.9997,0.7836,0.7822,0.9928,0.9887,0.9709,0.9675,0.9613
C5.0,0.2527,0.961,0.7997,0.8055,0.8942,0.862,0.8432,0.8390000000000001,0.8425
C5.0-Boosting,0.0856,0.9997,0.8709,0.8726,0.9842,0.9726,0.9764,0.9908,0.9966
CTree,0.8815,0.8281,0.7486,0.7877,0.7627,0.6812,0.6445,0.6096,0.5781
RPart,0.8199,0.7164,0.6795,0.7,0.6452,0.5743,0.5586,0.5479,0.4534
kNN,0.7911,0.8003,0.7839,0.7918,0.7226,0.6767,0.6432,0.599,0.5637
3NN+DTW,0.1904,0.9229,0.7887,0.8014,0.8733,0.8589,0.8534,0.8432,0.8336
LSTM,0.3342,0.7161,0.7935,0.6658,0.826,0.7818,0.5548,0.8072,0.7298
C4.5,0.2493,0.9623,0.787,0.8027,0.8911,0.8678,0.8572,0.8342,0.8455
