Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.5553,0.7359,0.7359,0.7027,0.6727,0.6524,0.605,0.5824,0.5688
Random Forest,0.0,1.0,0.7627,0.7207,1.0,1.0,1.0,1.0,1.0
CART,0.0,1.0,0.6904,0.6216,1.0,1.0,1.0,1.0,1.0
C5.0,0.1896,0.9526,0.7223,0.6306,0.9323,0.9233,0.9458,0.9549,0.9639
C5.0-Boosting,0.0,0.9977,0.7178,0.7117,1.0,1.0,1.0,1.0,1.0
CTree,0.772,0.7788,0.7629,0.7297,0.7133,0.684,0.6479,0.5824,0.5711
RPart,0.4334,0.8533,0.7246,0.7297,0.7856,0.7788,0.7494,0.6795,0.7269
kNN,0.5237,0.7562,0.7561,0.7207,0.693,0.6682,0.6253,0.605,0.5937
3NN+DTW,0.2664,0.86,0.6931,0.7207,0.8442,0.8172,0.8194,0.7788,0.7968
LSTM,0.772,0.1648,0.4403,0.1712,0.5056,0.3612,0.3544,0.3409,0.3228
C4.5,0.3567,0.9526,0.6952,0.6306,0.9616,0.9549,0.9526,0.8894,0.9052
