Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.2472,0.6222,0.6222,0.6201,0.5983,0.5857,0.573,0.5604,0.5492
Random Forest,0.0,1.0,0.816,0.7933,1.0,1.0,1.0,1.0,1.0
CART,0.0,1.0,0.736,0.7207,1.0,1.0,1.0,1.0,1.0
C5.0,1.7472,0.9874,0.7669,0.7095,0.9719,0.8764,0.9213,0.7051,0.6208
C5.0-Boosting,2.0253,1.0,0.8105,0.7821,1.0,0.9087,0.9775,0.7051,0.5955
CTree,0.6208,0.7275,0.6953,0.6704,0.6587,0.6517,0.6222,0.5604,0.5492
RPart,0.3399,0.8862,0.7754,0.7374,0.8441,0.8357,0.7921,0.7753,0.7893
kNN,0.5843,0.7949,0.7767,0.7933,0.7317,0.7163,0.6882,0.6461,0.6208
3NN+DTW,0.3399,0.868,0.7571,0.6872,0.8188,0.7893,0.7809,0.743,0.757
LSTM,0.6404,0.3834,0.5097,0.3799,0.4017,0.4157,0.42700000000000005,0.6404,0.4494
C4.5,1.6573,0.9747,0.7585,0.7207,0.9803,0.934,0.8511,0.8357,0.6152
