Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.5475,0.595,0.5952,0.6036,0.5452,0.5362,0.4955,0.4615,0.4457
Random Forest,0.0,1.0,0.6038,0.5766,1.0,1.0,1.0,1.0,1.0
CART,0.0,1.0,0.5342,0.5495,1.0,1.0,0.9932,1.0,1.0
C5.0,0.0995,0.9502,0.5363,0.5225,0.8891,0.8937,0.9072,0.9253,0.8982
C5.0-Boosting,0.0,1.0,0.5816,0.6306,1.0,1.0,1.0,1.0,1.0
CTree,0.629,0.6697,0.5841,0.5946,0.5814,0.5928,0.5158,0.509,0.4661
RPart,0.5204,0.7353,0.5952,0.6216,0.7036,0.6719,0.6199,0.6109,0.6041
kNN,0.7195,0.6425,0.5974,0.6036,0.5973,0.5882,0.5271,0.5,0.4615
3NN+DTW,0.1176,0.8846,0.5770000000000001,0.6036,0.8552,0.8665,0.8371,0.8394,0.8394
LSTM,0.2534,0.1086,0.2425,0.1081,0.1448,0.1312,0.1493,0.1403,0.2036
C4.5,0.1357,0.9389,0.5409,0.5676,0.9095,0.9253,0.8982,0.9027,0.8869
