Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.9,0.9551,0.9316,0.9316,0.8603,0.8068,0.762,0.7261,0.6756
Random Forest,0.0205,1.0,0.9227,0.9282,0.9927,0.9782,0.9812,0.985,0.9944
CART,0.0496,0.9996,0.8346,0.8735,0.9872,0.9748,0.9594,0.9620000000000001,0.9812
C5.0,0.1239,0.9833,0.8641,0.865,0.9521,0.9308,0.9359,0.9252,0.9239
C5.0-Boosting,0.0009,1.0,0.9059999999999999,0.9282,0.9996,0.9987,0.9987,0.9983,1.0
CTree,0.9504,0.8483,0.8231,0.8205,0.7731,0.7111,0.6735,0.6265,0.5778
RPart,0.7581,0.835,0.8017,0.8034,0.7491,0.7017,0.6769,0.6209,0.6
kNN,0.8179,0.8846,0.8752,0.8718,0.7974,0.7551,0.7085,0.6838,0.6286
3NN+DTW,0.3923,0.9697,0.9325,0.9368,0.8979,0.8705,0.8577,0.8248,0.8226
LSTM,0.7214,0.9902,0.95,0.9470000000000001,0.9368,0.8919,0.8987,0.7714,0.8167
C4.5,0.0855,0.9838,0.8504,0.8598,0.9432,0.9423,0.9325,0.9321,0.9269
