Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.9208,0.9515,0.9382,0.9485,0.8594,0.8149,0.7683,0.7208,0.6762
Random Forest,0.0109,1.0,0.9183,0.9406,0.997,0.9851,0.9817,0.9906,0.997
CART,0.0455,0.9990000000000001,0.8342,0.8733,0.9936,0.9787,0.9619,0.9738,0.9847
C5.0,0.0307,0.9812,0.85,0.8713,0.9302,0.9317,0.9297,0.9223,0.9272
C5.0-Boosting,0.0238,1.0,0.9015,0.9188,0.9931,0.9990000000000001,0.9990000000000001,0.9990000000000001,0.9990000000000001
CTree,0.8931,0.8554,0.8099,0.8277,0.7604,0.7158,0.6762,0.6109,0.5896
RPart,0.7911,0.8287,0.7959999999999999,0.8198,0.7475,0.7059,0.6797,0.645,0.5802
kNN,0.8287,0.8817,0.8639,0.899,0.7926,0.7465,0.7109,0.6619,0.6277
3NN+DTW,0.3297,0.9624,0.9302,0.9564,0.8941,0.8733,0.846,0.8342,0.8312
LSTM,0.8287,0.9955,0.9579,0.9663,0.9114,0.9064,0.8282,0.8009999999999999,0.7569
C4.5,0.0792,0.9797,0.8277,0.8832,0.9381,0.9381,0.9426,0.9292,0.9228
