Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.6195,0.9744,0.9341,0.9412,0.8928,0.8535,0.8191,0.7994,0.765
Random Forest,0.0,1.0,0.9557,0.9686,1.0,1.0,1.0,1.0,1.0
CART,0.0315,1.0,0.9115,0.9098,0.9941,0.9862,0.9931,0.9902,1.0
C5.0,0.5959,0.9941,0.9076,0.9451,0.9145,0.8673,0.8751,0.7502,0.8240000000000001
C5.0-Boosting,1.115,0.9990000000000001,0.9528,0.9725,0.9951,0.9754,0.9567,0.7679,0.8201
CTree,0.7689,0.9449,0.884,0.9098,0.8378,0.7974,0.7758,0.7099,0.6893
RPart,0.5978,0.9558,0.8958,0.9294,0.8682,0.8378,0.7699,0.7512,0.762
kNN,0.7375,0.9361,0.9243,0.9216,0.8466,0.7915,0.767,0.7198,0.6981
3NN+DTW,0.5093,0.9853,0.9616,0.9647,0.9056,0.8564,0.8486,0.8142,0.7994
LSTM,0.4012,0.9951,0.868,0.9882,0.9371,0.9017,0.8319,0.7699,0.9027
C4.5,0.9145,0.9902,0.9017,0.9490000000000001,0.9154,0.9125,0.8515,0.8092,0.7384
