Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.8632,0.8254,0.7925,0.8101,0.6989,0.6643,0.5986,0.5568,0.5369
Random Forest,0.0,1.0,0.9115,0.9203,1.0,1.0,1.0,1.0,1.0
CART,0.0651,1.0,0.79,0.8061,0.9963,0.9957,0.9940000000000001,0.9851,0.9854
C5.0,0.4595,0.9761,0.8134,0.8446,0.91,0.8858,0.8649,0.8353,0.8204
C5.0-Boosting,0.0173,1.0,0.8855,0.8911,0.998,0.9977,0.9937,0.995,0.995
CTree,1.0133,0.8629,0.7756,0.7888,0.7636,0.7231,0.6617,0.6222,0.5608
RPart,0.9788,0.7985,0.7287,0.7397,0.7118,0.6839,0.6371,0.5817,0.5183
kNN,0.8612,0.8542,0.8293,0.8313,0.7703,0.7288,0.6816,0.6348,0.6019
3NN+DTW,0.2052,0.9489,0.8642,0.8672,0.8941,0.8748,0.8612,0.8566,0.8519
LSTM,0.6009,0.9243,0.8622,0.8818,0.8297,0.7908,0.753,0.7626,0.6936
C4.5,0.4323,0.9788,0.8001,0.8234,0.9077,0.8924,0.8599,0.8416,0.825
