Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.5326,0.8442,0.5981,0.6629,0.7592,0.7564,0.7195,0.7054,0.6516
Random Forest,0.0,1.0,0.5608,0.7416,1.0,1.0,1.0,1.0,1.0
CART,0.0,1.0,0.3768,0.3933,1.0,1.0,1.0,1.0,1.0
C5.0,0.1133,0.9235,0.3681,0.4607,0.9235,0.9008,0.8924,0.8895,0.9008
C5.0-Boosting,0.0,1.0,0.4643,0.573,1.0,1.0,1.0,1.0,1.0
CTree,0.2606,0.4674,0.3113,0.4944,0.4079,0.3739,0.2946,0.3739,0.3428
RPart,0.17,0.6714,0.3681,0.4494,0.6232,0.6431,0.6374,0.5807,0.6119
kNN,0.4306,0.5807,0.4815,0.4944,0.5042,0.5297,0.4646,0.4731,0.4249
3NN+DTW,0.1473,0.8697,0.6432,0.618,0.8442,0.8499,0.83,0.8102,0.8272
LSTM,0.051,0.7309,0.7421,0.7079,0.9603,0.8527,0.8952,0.9235,0.9122
C4.5,0.017,0.9292,0.3711,0.4719,0.915,0.9065,0.915,0.915,0.9065
