Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.3669,0.6618,0.6566,0.6541,0.6279,0.6148,0.5969,0.5706,0.5583
Random Forest,0.0,1.0,0.8274,0.8195,1.0,1.0,1.0,1.0,1.0
CART,0.2531,0.9958,0.7281,0.7594,0.977,0.992,0.9817,0.9962,0.9116
C5.0,0.8213,0.8909,0.7554,0.7594,0.8119,0.7253,0.6839,0.6769,0.6308
C5.0-Boosting,0.9643,0.9835,0.8001,0.8195,0.8288,0.722,0.6802,0.6896,0.604
CTree,0.4967,0.7404,0.731,0.7068,0.6839,0.674,0.6364,0.6129,0.5903
RPart,0.5221,0.8151,0.7662,0.7688,0.7672,0.7215,0.6853,0.6627,0.6659999999999999
kNN,0.4619,0.7521,0.7342,0.7387,0.7079,0.6806,0.6585,0.6453,0.6101
3NN+DTW,0.2944,0.8711,0.77,0.7519,0.8278,0.8043,0.7869,0.7822,0.7653
LSTM,0.2963,0.6971,0.5349,0.6485,0.5202,0.4135,0.5856,0.4732,0.5644
C4.5,1.3349,0.9722,0.7441,0.7331,0.9158,0.8354,0.7888,0.6675,0.6659999999999999
