Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,1.0595,0.9821,0.9714,1.0,0.9048,0.8214,0.7738,0.7321,0.6845
Random Forest,0.0,1.0,0.9943,1.0,1.0,1.0,1.0,1.0,1.0
CART,0.0,1.0,0.92,0.9524,1.0,1.0,1.0,1.0,1.0
C5.0,0.1429,1.0,0.9168,0.9286,0.9226,0.8988,0.8809999999999999,0.8988,0.8869
C5.0-Boosting,0.11900000000000001,1.0,0.9348,0.9286,0.9702,0.9940000000000001,0.9821,0.9940000000000001,1.0
CTree,0.8929,0.9762,0.9342,0.9524,0.9048,0.7917,0.7798,0.7143,0.7202
RPart,0.8095,0.9881,0.9166,0.9762,0.9226,0.8333,0.7976,0.7738,0.75
kNN,0.9762,0.9524,0.9465,1.0,0.875,0.8095,0.7619,0.7143,0.6786
3NN+DTW,0.25,0.9940000000000001,0.9941,1.0,0.9167,0.8809999999999999,0.8512,0.875,0.8571
LSTM,1.119,1.0,1.0,1.0,0.2798,0.2738,0.2679,0.5238,0.4345
C4.5,0.3571,1.0,0.9164,0.9762,0.9524,0.9048,0.8869,0.8690000000000001,0.8809999999999999
