Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.5278,0.9896,0.9756,0.9444,0.9062,0.8542,0.8438,0.8056,0.7986
Random Forest,0.2847,1.0,0.9824,0.9861,0.9444,0.9132,0.9132,0.875,0.8924
CART,0.2847,1.0,0.9234,0.9722,0.9444,0.9132,0.9132,0.875,0.8924
C5.0,0.4236,0.9896,0.9373,0.9583,0.9062,0.8646,0.8715,0.8056,0.8299
C5.0-Boosting,0.4236,1.0,0.948,0.9861,0.941,0.9132,0.8993,0.8194,0.8819
CTree,1.0903,0.9306,0.8955,0.8889,0.8438,0.7986,0.7604,0.6701,0.6354
RPart,0.4028,0.9514,0.8958,0.9167,0.9062,0.8403,0.8611,0.8194,0.816
kNN,0.6389,0.8924,0.8544,0.875,0.8264,0.7847,0.7569,0.7431,0.6875
3NN+DTW,0.3403,0.9688,0.9341,0.9306,0.8819,0.8507,0.8299,0.7986,0.8229
LSTM,1.0139,0.7049,0.9304,0.7083,0.8507,0.8056,0.7257,0.7361,0.6319
C4.5,0.6181,0.9896,0.9408,0.9444,0.9201,0.8993,0.8576,0.75,0.8403
