Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.7562,0.7748,0.7749,0.8182,0.7190000000000001,0.6798,0.6446,0.6074,0.5661
Random Forest,0.0,1.0,0.8345,0.8759999999999999,1.0,1.0,1.0,1.0,1.0
CART,0.0248,1.0,0.7729,0.8099,0.9938,1.0,1.0,1.0,1.0
C5.0,0.3388,0.9587,0.7954,0.8182,0.9318,0.9545,0.9649,0.9463,0.8512
C5.0-Boosting,0.0,1.0,0.8284,0.8678,1.0,1.0,1.0,1.0,1.0
CTree,0.9876,0.8554,0.8223,0.8595,0.7769,0.7355,0.7149,0.626,0.5847
RPart,0.657,0.9091,0.818,0.8264,0.8347,0.7893,0.7624,0.7087,0.7107
kNN,0.9256,0.845,0.8223,0.8843,0.7851,0.7211,0.7066,0.6426,0.593
3NN+DTW,0.3017,0.8822,0.7851,0.8347,0.845,0.8388,0.8182,0.7872,0.7955
LSTM,0.4752,0.3781,0.4729,0.3719,0.5331,0.1983,0.43799999999999994,0.2087,0.4091
C4.5,0.2231,0.9628,0.7995,0.8017,0.9421,0.8905,0.8864,0.9607,0.9628
