Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.368,0.684,0.6812,0.6816,0.6447,0.6264,0.6067,0.5885,0.5716
Random Forest,0.0,1.0,0.8526,0.8603,1.0,1.0,1.0,1.0,1.0
CART,0.0,1.0,0.7964,0.7542,1.0,1.0,1.0,1.0,1.0
C5.0,1.4663,0.9775,0.8146,0.8212,0.9663,0.8652,0.8104,0.691,0.6868
C5.0-Boosting,1.6742,1.0,0.8413,0.8659,1.0,0.9017,0.8904,0.691,0.6868
CTree,0.618,0.8525,0.7752,0.7654,0.7542,0.6826,0.6938,0.6404,0.6208
RPart,0.4831,0.9045,0.7795,0.7989,0.8581,0.8244,0.8146,0.8301,0.7346
kNN,0.691,0.8301,0.809,0.8101,0.7626,0.7346,0.6952,0.6559,0.6292
3NN+DTW,0.5056,0.889,0.8188,0.7654,0.8553,0.8427,0.7992,0.8006,0.75
LSTM,0.1096,0.677,0.5927,0.6759999999999999,0.6433,0.375,0.6067,0.4635,0.5716
C4.5,1.0449,0.9663,0.7992,0.8324,0.9775,0.8553,0.8539,0.6952,0.7963
