Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.6198,0.7087,0.7088,0.7025,0.6405,0.6074,0.5744,0.5496,0.5145
Random Forest,0.0,1.0,0.8307,0.8264,1.0,1.0,1.0,1.0,1.0
CART,0.0083,1.0,0.7149,0.6612,1.0,1.0,1.0,1.0,0.9979
C5.0,0.2314,0.9442,0.7686,0.7438,0.9421,0.9194,0.9153,0.8905,0.8988
C5.0-Boosting,0.0041,1.0,0.8037,0.7934,0.9979,1.0,1.0,0.9979,1.0
CTree,0.8347,0.8409,0.7603,0.8099,0.7211,0.7087,0.6777,0.6219,0.5558
RPart,0.8595,0.8554,0.7872,0.7769,0.8140000000000001,0.7438,0.6983,0.6942,0.624
kNN,0.7975,0.8161,0.7934,0.7851,0.7293,0.6983,0.6632,0.6219,0.5682
3NN+DTW,0.0207,0.8864,0.7934,0.8017,0.8326,0.8368,0.8533,0.8223,0.845
LSTM,0.8099,0.4174,0.2396,0.4132,0.0496,0.3781,0.5041,0.3864,0.2479
C4.5,0.2025,0.9483,0.7768,0.7769,0.9483,0.9339,0.9008,0.9194,0.905
