Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.05,0.9733,0.3267,0.4133,0.9817,0.9733,0.98,0.975,0.9683
Random Forest,0.0,1.0,0.565,0.6333,1.0,1.0,1.0,1.0,1.0
CART,0.0,1.0,0.4583,0.44,1.0,1.0,1.0,1.0,1.0
C5.0,0.0067,0.9517,0.4417,0.4733,0.9583,0.9633,0.9567,0.96,0.9617
C5.0-Boosting,0.0,1.0,0.52,0.5933,1.0,1.0,1.0,1.0,1.0
CTree,0.0167,0.3333,0.3117,0.3333,0.335,0.3983,0.34,0.37,0.345
RPart,0.2433,0.7233,0.5033,0.5133,0.78,0.7633,0.73,0.7417,0.73
kNN,0.1467,0.4467,0.3333,0.42,0.4383,0.4617,0.4333,0.4783,0.3933
3NN+DTW,0.18,0.83,0.5867,0.5867,0.825,0.8117,0.7983,0.8117,0.78
LSTM,0.44,0.7717,0.5183,0.5067,0.9117,0.8733,0.925,0.8667,0.805
C4.5,0.0333,0.97,0.4767,0.5267,0.965,0.9783,0.97,0.9617,0.965
