Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.0767,0.7517,0.4667,0.5533,0.7533,0.7667,0.7583,0.7617,0.7367
Random Forest,0.0,1.0,0.46,0.5333,1.0,1.0,1.0,1.0,1.0
CART,0.08,0.995,0.42,0.4267,1.0,1.0,0.99,0.96,1.0
C5.0,0.03,0.9483,0.3917,0.4467,0.9533,0.945,0.9533,0.9267,0.955
C5.0-Boosting,0.0067,1.0,0.435,0.5133,0.9983,1.0,1.0,1.0,1.0
CTree,0.4733,0.4417,0.395,0.4533,0.4417,0.45,0.3867,0.4067,0.345
RPart,0.5433,0.6267,0.4233,0.4533,0.6517,0.5767,0.6667,0.685,0.7333
kNN,0.05,0.485,0.415,0.4667,0.45,0.4483,0.445,0.4467,0.4383
3NN+DTW,0.0933,0.835,0.495,0.6533,0.81,0.81,0.7867,0.7933,0.795
LSTM,0.1833,0.8567,0.5483,0.64,0.805,0.7617,0.7783,0.78,0.75
C4.5,0.0033,0.945,0.4083,0.44,0.9517,0.935,0.965,0.95,0.945
