Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.1917,0.9944,0.8973,0.8889,0.9542,0.9333,0.9181,0.9264,0.9097
Random Forest,0.0,1.0,0.8277,0.8278,1.0,1.0,1.0,1.0,1.0
CART,0.0,1.0,0.768,0.7722,1.0,1.0,1.0,1.0,1.0
C5.0,0.0056,0.9958,0.7764,0.7556,0.9806,0.9917,0.9889,0.9833,0.9861
C5.0-Boosting,0.0,1.0,0.8681,0.85,1.0,1.0,1.0,1.0,1.0
CTree,0.6889,0.8611,0.8083,0.8333,0.7917,0.7306,0.7403,0.6833,0.6431
RPart,0.0694,0.9306,0.7736,0.7833,0.8431,0.8986,0.8667,0.8806,0.8694
kNN,0.4083,0.7278,0.7083,0.6833,0.7014,0.6819,0.6625,0.6333,0.6236
3NN+DTW,0.4889,0.9639,0.9139,0.8722,0.8875,0.8569,0.8097,0.8042,0.7917
LSTM,0.2667,0.7694,0.6014,0.5944,0.9292,0.8611,0.7,0.8194,0.8833
C4.5,0.0278,0.9986,0.8,0.7667,0.9847,0.9806,0.9944,0.9889,0.9875
